Video_Code,Set,Species,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Velocity_Vals_m_sec,Data_Index
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.856548817,11
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.855556374,12
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.860936526,13
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.866786104,14
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.874499322,15
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.870162436,16
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.895353578,17
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.836720498,18
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.896113606,19
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.888540512,20
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.855371128,21
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.827469952,22
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.906763903,23
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.905116844,24
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.894258547,25
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,1.02479009,26
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.897999723,27
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.959875654,28
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.932559612,29
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,30
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,31
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,32
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,33
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,34
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,35
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,36
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,37
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,38
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,39
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,40
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,41
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,42
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,43
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,44
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,NA,45
